article_id,group_name,mention_instances,sentence_mentions,active_voice_mentions,passive_voice_mentions,quote_count,quoted_mentions,dehumanizing_count,criminalizing_count,collectivizing_count,erasure_of_civilian_status_count,incitement_displacement_count,incitement_destruction_count,discrediting_journalists_count,censorship_repression_count,victimizing_count,humanizing_count,active_voice_rate,passive_voice_rate,quoted_context_rate,dehumanization_score
2023_10_15_israel-bereitet-n-chste-eskalationsstufe-vor,israelis,11,11,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0.6364,0.0,0.0909,0.0
2023_10_15_israel-bereitet-n-chste-eskalationsstufe-vor,palestinians,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2023_10_15_leben-unter-vorbehalt,israelis,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.0,0.0,-2.0
2023_10_15_leben-unter-vorbehalt,palestinians,4,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0
2023_10_15_mehr-feuerkraft-als-die-meisten-europ-ischen-l-nder-zusammengenommen,israelis,8,8,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0.25,0.0,0.125,0.0
2023_10_15_nachrichten-am-15-oktober-2023,israelis,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.0,0.0,0.0
2023_10_15_nachrichten-am-15-oktober-2023,palestinians,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2023_10_15_wohin-der-krieg-f-hrt,israelis,17,17,10,2,4,2,0,1,0,0,0,0,0,0,0,1,0.5882,0.1176,0.1176,1.5
2023_10_15_wohin-der-krieg-f-hrt,palestinians,2,2,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0.5,0.0,0.5,-1.0
2023_10_16_entsetzen-ber-den-krieg,israelis,20,17,17,1,12,2,0,0,0,0,0,0,0,0,0,2,0.85,0.05,0.1,-1.5
2023_10_16_entsetzen-ber-den-krieg,palestinians,8,7,5,1,0,0,0,0,0,0,0,0,0,0,0,2,0.625,0.125,0.0,-1.5
